Registro|Orden_Servicio|Cliente|Identificador_Metro|Tipo Servicio Metro|Tipo Plan Metro|Velocidad Metro|Central+Circuito|Central|Nombre_Central|Tipo_Componente|Status_Instalacion|Nombre_Nodo|Tipo_Nodo|Tipo_Tarjeta|Nombre_Tarjeta|Slot|Puerto
201123723|U11RME23723|FARMACIA VERAMED  C.A|1000005533.0|Metro LAN (VPLS)|Platino|2Mb|2242-0152185|2242|CHAGUARAMOS          ( 2242 )|PTO_MULSER|ACTIVO|CHAGUARAMOS-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|12|
201123730|U11ICP23730|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|2Mb|9229-0006423|9229|SAN FELIX BOLIVAR    ( 9229 )|PTO_MULSER|ACTIVO|SAN-FELIX-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|9|
201123731|U11ICP23731|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|1Mb|9228-0006424|9228|ALTA VISTA           ( 9228 )|PTO_MULSER|ACTIVO|ALTA-VISTA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|3|
201123733|U11ICP23733|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|2Mb|9161-0002029|9161|CIUDAD BOLIVAR       ( 9161 )|PTO_MULSER|ACTIVO|CIUDAD-BOLIVAR-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|2|
201123736|U11ICP23736|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|2Mb|9216-0006426|9216|UNARE-DIGITAL        ( 9216 )|PTO_MULSER|ACTIVO|UNARE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|18|
201123744|U11ICP23744|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|2Mb|8556-0000583|8556|CARUPANO FIJA        ( 8556 )|PTO_MULSER|ACTIVO|CARUPANO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|16|
201123749|U11ICP23749|BANCO DE VENEZUELA S.A. BU|1000000081.0|Metro LAN (VPLS)|Platino|2Mb|8556-0000586|8556|CARUPANO FIJA        ( 8556 )|PTO_MULSER|ACTIVO|CARUPANO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|10|
201123775|U11ICP23775|BANCO DEL TESORO CA|||||2322-0158439|2322|LOS CAOBOS           ( 2322 )|PTO_RDCDE|ACTIVO|CAOBOS-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|13|
201123907|U11ICP23907|BANCO DE VENEZUELA S.A. BU|1000000080.0|Metro LAN (VPLS)|Platino|2Mb|8151-0014150|8151|PLC Y CPA ANZOATEGUI ( 8151 )|PTO_MULSER|ACTIVO|ANZOATEGUI-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-5|2|
201123920|U11ICP23920|BANCRECER SA BCO MICROFINAN|1000006880.0|Metro LAN (VPLS)|Oro|1Mb|2319-0158020|2319|LAS MERCEDES         ( 2319 )|PTO_MULSER|ACTIVO|MERCEDES-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-7|4|
201123933|U11ICP23933|BANCO DE VENEZUELA S.A. BU|1000000080.0|Metro LAN (VPLS)|Platino|2Mb|8863-0011473|8863|JUAN GRIEGO          ( 8863 )|PTO_MULSER|ACTIVO|JUAN-GRIEGO-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|5|
201123969|U11CAT23969|SEGUROS ALTAMIRA CA|||||2302-0138090|2302|LA FLORIDA           ( 2302 )|PTO_RDCDE|ACTIVO|FLORIDA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.5|11|
201124009|U11ICP24009|IVSS|1000006800.0|Metro LAN (VPLS)|Oro|1Mb|6213-0017624|6213|URDANETA II          ( 6213 )|PTO_MULSER|ACTIVO|URDANETA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|7|
201124016|U11ICP24016|IVSS|1000006800.0|Metro LAN (VPLS)|Oro|1Mb|6115-0017626|6115|FRONTERAS            ( 6115 )|PTO_MULSER|ACTIVO|FRONTERAS-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|1|
201124032|U11ICP24032|IVSS|1000006800.0|Metro LAN (VPLS)|Oro|1Mb|6273-0017625|6273|SAN FRANCISCO        ( 6273 )|PTO_MULSER|ACTIVO|SAN-FCO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|15|
201124035|U11ICP24035|IVSS|1000006800.0|Metro LAN (VPLS)|Oro|1Mb|6561-0001769|6561|CIUDAD OJEDA (6561) / TIA JUANA URL (656|PTO_MULSER|ACTIVO|CIUDAD-OJEDA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|16|
201124044|U11MDE24044|AVIOR AIRLINES CA|||||8161-0011125|8161|INTERCOMUNAL         ( 8161 )|PTO_RDCDE|ACTIVO|INTERCOMUNAL-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-4|19|
201124052|U11ICP24052|IVSS|1000006887.0|Metro LAN (VPLS)|Oro|1Mb|6182-0017659|6182|LAS DELICIAS         ( 6182 )|PTO_MULSER|ACTIVO|DELICIAS-MBO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|10|
201124067|U11ICP24067|IVSS|1000006887.0|Metro LAN (VPLS)|Oro|1Mb|6561-0001772|6561|CIUDAD OJEDA (6561) / TIA JUANA URL (656|PTO_MULSER|ACTIVO|CIUDAD-OJEDA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|5|
201124070|U11ICP24070|BCO OCCID DESC BCO UNIVERSAL|||||2312-0157893|2312|CHUAO                ( 2312 )|PTO_RDCDE|ACTIVO|CHUAO-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|13|
201124202|U11ICP24202|BANCO AGRICOLA DE VZLA C.A|||||5446-0001425|5446|SAN FELIPE II        ( 5446 )|PTO_RDCDE|ACTIVO|SAN-FELIPE-YRCY-DATO|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|5|
201124239|U11IME24239|FESTO C A|1000001878.0|Internet LAN|Básico|2Mb|6182-0016215|6182|LAS DELICIAS         ( 6182 )|PTO_MULSER|ACTIVO|DELICIAS-MBO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-9|8|
201124239|U11IME24239|FESTO C A|1000006906.0|Internet LAN|Básico|2Mb|6182-0016215|6182|LAS DELICIAS         ( 6182 )|PTO_MULSER|ACTIVO|DELICIAS-MBO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-9|8|
201124252|U11ICP24252|INSECTICIDAS INTERNAC.ES CA|1000006905.0|Metro Linea (VLL)|Básico|1024Kb|4476-0003496|4476|TURMERO              ( 4476 )|PTO_MULSER|ACTIVO|TURMERO-XI|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.16|19-20|
201124352|U11IXM24352|EMP P SOCIAL MINERA NACIONAL|||||2319-0150650|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|MERCEDES-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|24|
201124352|U11IXM24352|EMP P SOCIAL MINERA NACIONAL|||||2319-0150650|2319|LAS MERCEDES         ( 2319 )|PTO_RDCDE|ACTIVO|FLORIDA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|14|
201124370|U11ICP24370|CORPORACION LA REDOMA CA|1000006500.0|Metro LAN (VPLS)|Básico|1Mb|5182-0009474|5182|MORAN                ( 5182 )|PTO_MULSER|ACTIVO|MORAN-IV|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|22|
201124382|U11ICP24382|CORPORACION LA REDOMA CA|1000006500.0|Metro LAN (VPLS)|Básico|1Mb|5184-0009473|5184|OBELISCO             ( 5184 )|PTO_MULSER|ACTIVO|OBELISCO-VI|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|13|
201124392|U11IME24392|SENIAT|1000006367.0|Metro LAN (VPLS)|Carrier|1Mb|4441-0003412|4441|CAGUA                ( 4441 )|PTO_MULSER|ACTIVO|CAGUA-DATOS-I|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|3|
201124392|U11IME24392|SENIAT|1000004655.0|Metro LAN (VPLS)|Básico|1Mb|4441-0003412|4441|CAGUA                ( 4441 )|PTO_MULSER|ACTIVO|CAGUA-DATOS-I|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|3|
201124396|U11IME24396|SENIAT|1000006367.0|Metro LAN (VPLS)|Carrier|1Mb|4813-0000548|4813|SAN CARLOS(4813)/EL LIMON (4813Z)|PTO_MULSER|ACTIVO|SAN-CARLOS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|5|
201124396|U11IME24396|SENIAT|1000004655.0|Metro LAN (VPLS)|Básico|1Mb|4813-0000548|4813|SAN CARLOS(4813)/EL LIMON (4813Z)|PTO_MULSER|ACTIVO|SAN-CARLOS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|5|
201124400|U11IME24400|SENIAT|1000006367.0|Metro LAN (VPLS)|Carrier|1Mb|4473-0003413|4473|LA VICTORIA / TEJERIA( 4473 )|PTO_MULSER|ACTIVO|VICTORIA-VIII|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|8|
201124400|U11IME24400|SENIAT|1000004655.0|Metro LAN (VPLS)|Básico|1Mb|4473-0003413|4473|LA VICTORIA / TEJERIA( 4473 )|PTO_MULSER|ACTIVO|VICTORIA-VIII|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|8|
201124428|U11CVM24428|SUPERMERCADO EL DIAMANTE CA|1000005792.0|Internet LAN|Básico|2Mb|9161-0002020|9161|CIUDAD BOLIVAR       ( 9161 )|PTO_MULSER|ACTIVO|CIUDAD-BOLIVAR-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|6|
201124490|U11CAT24490|VICEPRESIDENCIA EJECUTIVA|||||2242-0151421|2242|CHAGUARAMOS          ( 2242 )|PTO_RDCDE|ACTIVO|CHAGUARAMOS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|12|
201124553|U11ICP24553|VICEPRESIDENCIA EJECUTIVA|1000006924.0|Internet LAN|Básico|4Mb|2304-0157939|2304|CARACAS              ( 2304 )|PTO_MULSER|ACTIVO|CARACAS-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-8|1|
201124599|U11ICP24599|C A N T V|1000006932.0|Metro Linea (VLL)|Básico|4Mb|9229-0006432|9229|SAN FELIX BOLIVAR    ( 9229 )|PTO_MULSER|ACTIVO|SAN-FELIX-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|11 - 12|
201124601|U11MDE24601|MINISTERIO DE JUSTICIA|||||5446-0001300|5446|SAN FELIPE II        ( 5446 )|PTO_RDCDE|ACTIVO|SAN-FELIPE-YRCY-DATO|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|11|
201124643|U11ICP24643|SEGUROS LOS ANDES CA|1000006934.0|Metro LAN (VPLS)|Oro|1Mb|6181-0017677|6181|BELLA VISTA          ( 6181 )|PTO_MULSER|ACTIVO|BELLA-VISTA-I-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|21|
201124703|U11CAT24703|SERPAPROCA|||||9216-0004871|9216|UNARE-DIGITAL        ( 9216 )|PTO_RDCDE|ACTIVO|UNARE-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-5|6|
201124772|U11ICP24772|PROSEGUROS S A|1000006377.0|Metro LAN (VPLS)|Oro|2Mb|4181-0019555|4181|CAMORUCO             ( 4181 )|PTO_MULSER|ACTIVO|CAMORUCO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-5|9|
201124791|U11ICP24791|CABLE SATELITE MONAGAS PIAR|1000006952.0|Internet LAN|Básico|8Mb|8682-0003014|8682|MATURIN CTRO(8682)/SN JOSE (8682Z)|PTO_MULSER|CORTADO|MATURIN-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-5|3-4|
201124792|U11ICP24792|INSAI|||||4355-0012122|4355|LA ROMANA            ( 4355 )|PTO_RDCDE|ACTIVO|LA-ROMANA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|2|
201124808|U11ICP24808|I.N.C.E.|1000003693.0|Metro LAN (VPLS)|Básico|2Mb|5446-0001429|5446|SAN FELIPE II        ( 5446 )|PTO_MULSER|ACTIVO|SAN-FELIPE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|10|
201124850|U11ICP24850|IVSS|1000000062.0|Metro LAN (VPLS)|Oro|1Mb|2220-0158030|2220|MACARACUAY           ( 2220 )|PTO_MULSER|ACTIVO|MACARACUAY-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|9|
201124853|U11ICP24853|IVSS|1000000062.0|Metro LAN (VPLS)|Oro|1Mb|2243-0158028|2243|PRADO DE MARIA       ( 2243 )|PTO_MULSER|ACTIVO|PRADO-DE-MARIA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|8|
201124855|U11ICP24855|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2227-0158023|2227|FCO FAJARDO III      ( 2227 )|PTO_MULSER|ACTIVO|FCO-FAJARDO-DATOS|MUX_N.IVSU_7350|TARJETA DE AGREGADO|G.SHDSL|1-1-2|22|
201124857|U11ICP24857|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2231-0158031|2231|CARICUAO             ( 2231 )|PTO_MULSER|ACTIVO|CARICUAO-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|11|
201124864|U11ICP24864|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2230-0158034|2230|SAN MARTIN           ( 2230 )|PTO_MULSER|ACTIVO|SAN-MARTIN-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|11|
201124866|U11ICP24866|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2228-0158024|2228|MADERERO             ( 2228 )|PTO_MULSER|ACTIVO|MADERERO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|10|
201124877|U11ICP24877|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2221-0158032|2221|CHACAO               ( 2221 )|PTO_MULSER|ACTIVO|CHACAO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-5|16|
201124878|U11ICP24878|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2322-0158135|2322|LOS CAOBOS           ( 2322 )|PTO_MULSER|ACTIVO|CAOBOS-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.4|14|
201124880|U11ICP24880|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|3307-0158134|3307|GUARENAS-TRAPICHITO-ELECTRO ( 3307 )|PTO_MULSER|ACTIVO|TRAPICHITO-XIV|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-16|17|
201124881|U11ICP24881|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|3206-0158137|3206|LOS TEQUES           ( 3206 )|PTO_MULSER|ACTIVO|LOS-TEQUES-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|14|
201124883|U11ICP24883|IVSS|1000000071.0|Metro LAN (VPLS)|Oro|1Mb|2221-0158136|2221|CHACAO               ( 2221 )|PTO_MULSER|ACTIVO|CHACAO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.5|4|
201124967|I11CAT24967|C A N T V|||||9313-0000176|9313|PUERTO AYACUCHO (9313)/SAMARIPO(9313Z)|PTO_RDCDE|ACTIVO|PUERTO-AYACUCHO|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.5|21|
201124984|U11IME24984|MALL TELECOMUNICACIONES CA|1000006281.0|Metro LAN (VPLS)|Oro|2Mb|2301-0157426|2301|EL ROSAL             ( 2301 )|PTO_MULSER|ACTIVO|ROSAL-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|23|
201124984|U11IME24984|MALL TELECOMUNICACIONES CA|1000006957.0|Internet LAN|Básico|2Mb|2301-0157426|2301|EL ROSAL             ( 2301 )|PTO_MULSER|ACTIVO|ROSAL-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|23|
201124999|U11ICP24999|MIN DEL INTERIOR Y JUSTIC|1000004959.0|Metro LAN (VPLS)|Platino|2Mb|7682-0008005|7682|LA CONCORDIA (7682)|PTO_MULSER|ACTIVO|LA-CONCORDIA-DATOS-I|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|14|
201125005|U11ICP25005|MIN DEL INTERIOR Y JUSTIC|1000005092.0|Metro LAN (VPLS)|Platino|2Mb|4941-0001175|4941|SN FERNANDO DE APURE ( 4941 )|PTO_MULSER|ACTIVO|SAN-FDO-DE-APURE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2-|1|
201125056|U11ICP25056|MINISTERIO PUBLICO|1000006537.0|Metro LAN (VPLS)|Carrier|2Mb|4941-0001174|4941|SN FERNANDO DE APURE ( 4941 )|PTO_MULSER|ACTIVO|SAN-FDO-DE-APURE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|11|
201125081|U11ICP25081|MIN DEL INTERIOR Y JUSTIC|1000005092.0|Metro LAN (VPLS)|Platino|2Mb|8556-0000585|8556|CARUPANO FIJA        ( 8556 )|PTO_MULSER|ACTIVO|CARUPANO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|14|
201125085|U11ICP25085|INTELIGENSA|1000006965.0|Internet LAN|Básico|1Mb|2213-0158093|2213|BOLEITA              ( 2213 )|PTO_MULSER|ACTIVO|BOLEITA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|23|
201125098|U11ICP25098|MIN DEL INTERIOR Y JUSTIC|1000004620.0|Metro LAN (VPLS)|Platino|2Mb|8682-0003012|8682|MATURIN CTRO(8682)/SN JOSE (8682Z)|PTO_MULSER|ACTIVO|MATURIN-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|10|
201125106|U11ICP25106|MIN DEL INTERIOR Y JUSTIC|1000004959.0|Metro LAN (VPLS)|Platino|2Mb|5414-0001486|5414|GUAMA-MOVIL          ( 5414 )|PTO_MULSER|ACTIVO|GMA-AMGW-00 (GUAMA)-YAR|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|0-35|0|
201125163|U11CAT25163|MPP TRABAJO Y SEGURIDAD SOC.|||||2304-0125864|2304|CARACAS              ( 2304 )|PTO_RDCDE|ACTIVO|350 CARACAS 1|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|6|3|
201125184|U11CAT25184|CTRO NAC.DE TECNOLOG.INF|||||2307-0111897|2307|RICARDO ZULOAGA      ( 2307 )|PTO_RDCDE|ACTIVO|NUEVA-CARACAS-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|9|
201125222|U11ICP25222|INT PREV Y AST SOC PER MIN E|1000004303.0|Metro LAN (VPLS)|Carrier|2Mb|4941-0001176|4941|SN FERNANDO DE APURE ( 4941 )|PTO_MULSER|ACTIVO|SAN-FDO-DE-APURE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|10|
201125284|U11ICP25284|BCO OCCID DESC BCO UNIVERSAL|||||2316-0158082|2316|LA TRINIDAD          ( 2316 )|PTO_RDCDE|ACTIVO|TRINIDAD-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|7|
201125391|U11MDE25391|C.A.SUCESORA DE JOSE PUIG &|||||2213-0119485|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|BOLEITA-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.2|2|
201125437|U11ICP25437|DEL SUR BANCO UNIVERSAL CA|1000006988.0|Metro LAN (VPLS)|Carrier|8Mb|2319-0158128|2319|LAS MERCEDES         ( 2319 )|PTO_MULSER|ACTIVO|MERCEDES-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-10|1 Y 2|
201125448|U11ICP25448|DEL SUR BANCO UNIVERSAL CA|1000006988.0|Metro LAN (VPLS)|Carrier|2Mb|9227-0006439|9227|PTO.ORDAZ(9227)/TLXPTO.ORDAZ 9227T 9227Z|PTO_MULSER|ACTIVO|PUERTO-ORDAZ-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-4|3|
201125522|U11ICP25522|BCO BICENTENARIO BCO UNIV CA|1000006680.0|Metro LAN (VPLS)|Carrier|1Mb|7681-0008036|7681|SAN CRISTOBAL CENTRO ( 7681 )|PTO_MULSER|ACTIVO|SAN-CRISTOBAL-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|3|
201125527|U11ICP25527|DEL SUR BANCO UNIVERSAL CA|1000006995.0|Metro LAN (VPLS)|Carrier|8Mb|2319-0158130|2319|LAS MERCEDES         ( 2319 )|PTO_MULSER|ACTIVO|MERCEDES-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.8|3 Y 4|
201125541|U11ICP25541|FUNDAFARMACIA|||||7341-0001537|7341|BARINAS CENTRO II    ( 7341 )|PTO_RDCDE|ACTIVO|BARINAS-CENTRO|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|2-2-16|4|
201125572|U11ICP25572|IVSS|1000006997.0|Metro LAN (VPLS)|Oro|1Mb|5736-0000573|5736|SN.FRANCISCO-GUANARE ( 5736 )|PTO_MULSER|ACTIVO|GUANARE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|13|
201125575|U11ICP25575|IVSS|1000006997.0|Metro LAN (VPLS)|Oro|1Mb|4941-0001177|4941|SN FERNANDO DE APURE ( 4941 )|PTO_MULSER|ACTIVO|SAN-FDO-DE-APURE-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.2|2|
201125598|U11MDE25598|MOLINOS NACIONALES C.A|||||2213-0102959|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|BOLEITA-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|6|
201125602|U11MDE25602|PRESIDENCIA DE LA REPUBLICA|||||2213-0138677|2213|BOLEITA              ( 2213 )|PTO_MULSER|ACTIVO|BOLEITA-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|LT2|4|
201125636|U11ICP25636|BCO BICENTENARIO BCO UNIV CA|1000006573.0|Metro LAN (VPLS)|Carrier|1Mb|5185-0009501|5185|SANTA ELENA          ( 5185 )|PTO_MULSER|ACTIVO|SANTA-ELENA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|24|
201125665|U11CVM25665|MG MOTORES VALENCIA CA|1000006155.0|Internet LAN|Básico|4Mb|4126-0019518|4126|ARTURO MICHELENA     ( 4126 )|PTO_MULSER|ACTIVO|ARTURO-MICHELENA-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-3|5|
201125714|I11CAT25714|CTRO NAC.DE TECNOLOG.INF|||||3935-0000349|3935|CHARALLAVE           ( 3935 )|PTO_RDCDE|ACTIVO|CHARALLAVE-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|21|
201125731|I11CAT25731|CTRO NAC.DE TECNOLOG.INF|||||3921-0000353|3921|CUA                  ( 3921 )|PTO_RDCDE|ACTIVO|CUA|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-2-16|12|
201125782|U11ICP25782|REPR N & E ASOCIADOS CA|1000006357.0|Metro LAN (VPLS)|Oro|1Mb|2228-0158365|2228|MADERERO             ( 2228 )|PTO_MULSER|ACTIVO|MADERERO-DATOS-II|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.3|23|
201125822|U11ICP25822|BCO BICENTENARIO BCO UNIV CA|1000006498.0|Metro LAN (VPLS)|Carrier|1Mb|8471-0002015|8471|CUMANA CENTRO FIJA   ( 8471 )|PTO_MULSER|ACTIVO|CUMANA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|18|
201125825|U11ICP25825|BCO BICENTENARIO BCO UNIV CA|1000006498.0|Metro LAN (VPLS)|Carrier|1Mb|8471-0002016|8471|CUMANA CENTRO FIJA   ( 8471 )|PTO_MULSER|ACTIVO|CUMANA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|17|
201125827|U11MDE25827|C.A. CIGARRERA BIGOTT SUCS|||||2213-0137898|2213|BOLEITA              ( 2213 )|PTO_RDCDE|ACTIVO|BOLEITA-DATOS-III|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-2|16|
201125833|U11ICP25833|IVSS|1000007013.0|Metro LAN (VPLS)|Oro|1Mb|5571-0001903|5571|ACARIGUA II          ( 5571 )|PTO_MULSER|ACTIVO|ACARIGUA-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|13|
201125975|U11ICP25975|COMERCIAL REYES C.A.|||||6187-0017650|6187|EL TREBOL U.R.L      ( 6187 )|PTO_RDCDE|ACTIVO|URL-EL-TREBOL-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1-1-1|17|
201126097|U11ICP26097|INVERSIONES JAI-CED, C.A|1000007021.0|Internet LAN|Básico|2Mb|4183-0019585|4183|EL TRIGAL            ( 4183 )|PTO_MULSER|ACTIVO|EL-TRIGAL-DATOS|MUX_N.IVSU_7350|TARJETA DE DATOS|G.SHDSL|1.1.1|23|
